Freq.;Real;Imaginaria
1.76000000000000e+03;6.66276518109371e-01;-3.69580056213269e-01
1.77000000000000e+03;6.63542239887437e-01;-3.71272391648510e-01
1.78000000000000e+03;6.60812205538358e-01;-3.72934439160061e-01
1.79000000000000e+03;6.58086632728236e-01;-3.74566565461717e-01
1.80000000000000e+03;6.55365732794396e-01;-3.76169133555707e-01
1.81000000000000e+03;6.52649710889065e-01;-3.77742502762282e-01
1.82000000000000e+03;6.49938766119542e-01;-3.79287028748983e-01
1.83000000000000e+03;6.47233091684962e-01;-3.80803063559589e-01
1.84000000000000e+03;6.44532875009776e-01;-3.82290955642783e-01
1.85000000000000e+03;6.41838297874035e-01;-3.83751049880533e-01
1.86000000000000e+03;6.39149536540607e-01;-3.85183687616209e-01
1.87000000000000e+03;6.36466761879388e-01;-3.86589206682452e-01
1.88000000000000e+03;6.33790139488635e-01;-3.87967941428798e-01
1.89000000000000e+03;6.31119829813482e-01;-3.89320222749082e-01
1.90000000000000e+03;6.28455988261738e-01;-3.90646378108628e-01
1.91000000000000e+03;6.25798765317042e-01;-3.91946731571225e-01
1.92000000000000e+03;6.23148306649460e-01;-3.93221603825920e-01
1.93000000000000e+03;6.20504753223585e-01;-3.94471312213622e-01
1.94000000000000e+03;6.17868241404222e-01;-3.95696170753532e-01
1.95000000000000e+03;6.15238903059728e-01;-3.96896490169401e-01
1.96000000000000e+03;6.12616865663059e-01;-3.98072577915640e-01
1.97000000000000e+03;6.10002252390600e-01;-3.99224738203266e-01
1.98000000000000e+03;6.07395182218836e-01;-4.00353272025710e-01
1.99000000000000e+03;6.04795770018915e-01;-4.01458477184487e-01
2.00000000000000e+03;6.02204126649167e-01;-4.02540648314730e-01
2.01000000000000e+03;5.99620359045630e-01;-4.03600076910598e-01
2.02000000000000e+03;5.97044570310627e-01;-4.04637051350565e-01
2.03000000000000e+03;5.94476859799461e-01;-4.05651856922585e-01
2.04000000000000e+03;5.91917323205257e-01;-4.06644775849148e-01
2.05000000000000e+03;5.89366052642007e-01;-4.07616087312228e-01
2.06000000000000e+03;5.86823136725866e-01;-4.08566067478118e-01
2.07000000000000e+03;5.84288660654730e-01;-4.09494989522168e-01
2.08000000000000e+03;5.81762706286147e-01;-4.10403123653421e-01
2.09000000000000e+03;5.79245352213600e-01;-4.11290737139148e-01
2.10000000000000e+03;5.76736673841195e-01;-4.12158094329291e-01
2.11000000000000e+03;5.74236743456799e-01;-4.13005456680810e-01
2.12000000000000e+03;5.71745630303652e-01;-4.13833082781938e-01
2.13000000000000e+03;5.69263400650509e-01;-4.14641228376345e-01
2.14000000000000e+03;5.66790117860320e-01;-4.15430146387211e-01
2.15000000000000e+03;5.64325842457501e-01;-4.16200086941209e-01
2.16000000000000e+03;5.61870632193816e-01;-4.16951297392407e-01
2.17000000000000e+03;5.59424542112908e-01;-4.17684022346070e-01
2.18000000000000e+03;5.56987624613500e-01;-4.18398503682384e-01
2.19000000000000e+03;5.54559929511309e-01;-4.19094980580088e-01
2.20000000000000e+03;5.52141504099683e-01;-4.19773689540023e-01
2.21000000000000e+03;5.49732393209006e-01;-4.20434864408583e-01
2.22000000000000e+03;5.47332639264880e-01;-4.21078736401092e-01
2.23000000000000e+03;5.44942282345128e-01;-4.21705534125085e-01
2.24000000000000e+03;5.42561360235626e-01;-4.22315483603496e-01
2.25000000000000e+03;5.40189908485002e-01;-4.22908808297766e-01
2.26000000000000e+03;5.37827960458215e-01;-4.23485729130854e-01
2.27000000000000e+03;5.35475547389044e-01;-4.24046464510160e-01
2.28000000000000e+03;5.33132698431504e-01;-4.24591230350354e-01
2.29000000000000e+03;5.30799440710222e-01;-4.25120240096113e-01
2.30000000000000e+03;5.28475799369774e-01;-4.25633704744766e-01
2.31000000000000e+03;5.26161797623025e-01;-4.26131832868837e-01
2.32000000000000e+03;5.23857456798479e-01;-4.26614830638500e-01
2.33000000000000e+03;5.21562796386665e-01;-4.27082901843936e-01
2.34000000000000e+03;5.19277834085577e-01;-4.27536247917581e-01
2.35000000000000e+03;5.17002585845175e-01;-4.27975067956287e-01
2.36000000000000e+03;5.14737065910996e-01;-4.28399558743376e-01
2.37000000000000e+03;5.12481286866855e-01;-4.28809914770589e-01
2.38000000000000e+03;5.10235259676677e-01;-4.29206328259938e-01
2.39000000000000e+03;5.07998993725479e-01;-4.29588989185446e-01
2.40000000000000e+03;5.05772496859501e-01;-4.29958085294783e-01
2.41000000000000e+03;5.03555775425518e-01;-4.30313802130798e-01
2.42000000000000e+03;5.01348834309342e-01;-4.30656323052935e-01
2.43000000000000e+03;4.99151676973534e-01;-4.30985829258548e-01
2.44000000000000e+03;4.96964305494336e-01;-4.31302499804089e-01
2.45000000000000e+03;4.94786720597841e-01;-4.31606511626203e-01
2.46000000000000e+03;4.92618921695418e-01;-4.31898039562690e-01
2.47000000000000e+03;4.90460906918397e-01;-4.32177256373364e-01
2.48000000000000e+03;4.88312673152045e-01;-4.32444332760789e-01
2.49000000000000e+03;4.86174216068826e-01;-4.32699437390899e-01
2.50000000000000e+03;4.84045530160977e-01;-4.32942736913499e-01
2.51000000000000e+03;4.81926608772402e-01;-4.33174395982643e-01
2.52000000000000e+03;4.79817444129898e-01;-4.33394577276895e-01
2.53000000000000e+03;4.77718027373734e-01;-4.33603441519461e-01
2.54000000000000e+03;4.75628348587582e-01;-4.33801147498205e-01
2.55000000000000e+03;4.73548396827827e-01;-4.33987852085532e-01
2.56000000000000e+03;4.71478160152253e-01;-4.34163710258152e-01
2.57000000000000e+03;4.69417625648133e-01;-4.34328875116712e-01
2.58000000000000e+03;4.67366779459716e-01;-4.34483497905303e-01
2.59000000000000e+03;4.65325606815143e-01;-4.34627728030838e-01
2.60000000000000e+03;4.63294092052781e-01;-4.34761713082299e-01
2.61000000000000e+03;4.61272218647005e-01;-4.34885598849857e-01
2.62000000000000e+03;4.59259969233430e-01;-4.34999529343855e-01
2.63000000000000e+03;4.57257325633600e-01;-4.35103646813662e-01
2.64000000000000e+03;4.55264268879151e-01;-4.35198091766399e-01
2.65000000000000e+03;4.53280779235460e-01;-4.35283002985524e-01
2.66000000000000e+03;4.51306836224775e-01;-4.35358517549284e-01
2.67000000000000e+03;4.49342418648858e-01;-4.35424770849038e-01
2.68000000000000e+03;4.47387504611128e-01;-4.35481896607441e-01
2.69000000000000e+03;4.45442071538336e-01;-4.35530026896489e-01
2.70000000000000e+03;4.43506096201754e-01;-4.35569292155434e-01
2.71000000000000e+03;4.41579554737921e-01;-4.35599821208561e-01
2.72000000000000e+03;4.39662422668917e-01;-4.35621741282822e-01
2.73000000000000e+03;4.37754674922208e-01;-4.35635178025339e-01
2.74000000000000e+03;4.35856285850047e-01;-4.35640255520770e-01
2.75000000000000e+03;4.33967229248451e-01;-4.35637096308530e-01
2.76000000000000e+03;4.32087478375758e-01;-4.35625821399879e-01
2.77000000000000e+03;4.30217005970774e-01;-4.35606550294873e-01
2.78000000000000e+03;4.28355784270519e-01;-4.35579400999171e-01
2.79000000000000e+03;4.26503785027569e-01;-4.35544490040704e-01
2.80000000000000e+03;4.24660979527025e-01;-4.35501932486213e-01
2.81000000000000e+03;4.22827338603088e-01;-4.35451841957635e-01
2.82000000000000e+03;4.21002832655272e-01;-4.35394330648362e-01
2.83000000000000e+03;4.19187431664245e-01;-4.35329509339353e-01
2.84000000000000e+03;4.17381105207315e-01;-4.35257487415110e-01
2.85000000000000e+03;4.15583822473563e-01;-4.35178372879516e-01
2.86000000000000e+03;4.13795552278636e-01;-4.35092272371534e-01
